ki , kp , kd 
0.000200 , 4.000000 , 25.000000 
Raspberry Pi HC-SR04 UltraSonic sensor
0, 1993262192
1, 1984873584
2, 1976484976
Raspberry Pi HC-SR04 UltraSonic sensor
Raspberry Pi HC-SR04 UltraSonic sensor
duty cycle:0.0% 1/255
duty cycle:0.0% 1/255
pivot: 6.7 
-13.943998,-0.000697,-87.149986
-13.943998,-0.001394,0.000000
-13.943998,-0.002092,0.000000
-13.943998,-0.002789,0.000000
-13.943998,-0.003486,0.000000
-13.943998,-0.004183,0.000000
-13.943998,-0.004880,0.000000
-13.943998,-0.005578,0.000000
-13.943998,-0.006275,0.000000
-13.943998,-0.006972,0.000000
-13.943998,-0.007669,0.000000
-13.943998,-0.008366,0.000000
-13.943998,-0.009064,0.000000
-13.943998,-0.009761,0.000000
-13.943998,-0.010458,0.000000
-13.943998,-0.011155,0.000000
-13.943998,-0.011852,0.000000
-13.943998,-0.012550,0.000000
-13.943998,-0.013247,0.000000
-13.943998,-0.013944,0.000000
-13.943998,-0.014641,0.000000
-13.943998,-0.015338,0.000000
-13.943998,-0.016036,0.000000
-13.943998,-0.016733,0.000000
-13.943998,-0.017430,0.000000
-13.943998,-0.018127,0.000000
-13.943998,-0.018824,0.000000
-13.943998,-0.019522,0.000000
-13.943998,-0.020219,0.000000
-13.943998,-0.020916,0.000000
-13.943998,-0.021613,0.000000
-13.943998,-0.022310,0.000000
-13.943998,-0.023008,0.000000
-13.943998,-0.023705,0.000000
-13.943998,-0.024402,0.000000
-13.943998,-0.025099,0.000000
-13.943998,-0.025796,0.000000
-13.943998,-0.026494,0.000000
-13.943998,-0.027191,0.000000
-13.943998,-0.027888,0.000000
-13.943998,-0.028585,0.000000
-13.943998,-0.029282,0.000000
-13.943998,-0.029980,0.000000
-13.943998,-0.030677,0.000000
-13.943998,-0.031374,0.000000
-13.943998,-0.032071,0.000000
-13.943998,-0.032768,0.000000
-13.943998,-0.033466,0.000000
-13.943998,-0.034163,0.000000
-13.943998,-0.034860,0.000000
-13.943998,-0.035557,0.000000
-13.943998,-0.036254,0.000000
-13.943998,-0.036952,0.000000
-13.943998,-0.037649,0.000000
-13.943998,-0.038346,0.000000
-13.943998,-0.039043,0.000000
-13.943998,-0.039740,0.000000
-13.943998,-0.040438,0.000000
-13.943998,-0.041135,0.000000
-13.943998,-0.041832,0.000000
-13.943998,-0.042529,0.000000
-13.943998,-0.043226,0.000000
-13.943998,-0.043924,0.000000
-13.943998,-0.044621,0.000000
-13.943998,-0.045318,0.000000
-13.943998,-0.046015,0.000000
-13.943998,-0.046712,0.000000
-13.943998,-0.047410,0.000000
-13.943998,-0.048107,0.000000
-13.943998,-0.048804,0.000000
-13.943998,-0.049501,0.000000
-13.943998,-0.050198,0.000000
-13.943998,-0.050896,0.000000
-13.943998,-0.051593,0.000000
-13.943998,-0.052290,0.000000
-13.943998,-0.052987,0.000000
-13.943998,-0.053684,0.000000
-13.943998,-0.054382,0.000000
-13.943998,-0.055079,0.000000
-13.943998,-0.055776,0.000000
-13.943998,-0.056473,0.000000
-13.943998,-0.057170,0.000000
-13.943998,-0.057868,0.000000
-13.943998,-0.058565,0.000000
-13.943998,-0.059262,0.000000
-13.943998,-0.059959,0.000000
-13.943998,-0.060656,0.000000
-13.943998,-0.061354,0.000000
-13.943998,-0.062051,0.000000
-13.943998,-0.062748,0.000000
